date,client,library,frequency
2017-04-01,desktop,AmplifyJS,1
2017-04-01,desktop,AngularJS,33
2017-04-01,desktop,Backbone,21
2017-04-01,desktop,Bootstrap,276
2017-04-01,desktop,Can,1
2017-04-01,desktop,CreateJS,2
2017-04-01,desktop,D3,11
2017-04-01,desktop,DC.js,1
2017-04-01,desktop,Dojo,5
2017-04-01,desktop,Ember.js,2
2017-04-01,desktop,Ext JS,6
2017-04-01,desktop,FastClick,17
2017-04-01,desktop,FlexSlider,179
2017-04-01,desktop,FlotCharts,4
2017-04-01,desktop,GWT,1
2017-04-01,desktop,Google Maps,55
2017-04-01,desktop,Greensock JS,39
2017-04-01,desktop,Hammer.js,25
2017-04-01,desktop,Handlebars,13
2017-04-01,desktop,Head JS,6
2017-04-01,desktop,Highcharts,15
2017-04-01,desktop,Isotope,65
2017-04-01,desktop,Kendo UI,1
2017-04-01,desktop,Knockout,8
2017-04-01,desktop,LABjs,5
2017-04-01,desktop,Leaflet,6
2017-04-01,desktop,Lo-Dash,29
2017-04-01,desktop,Mapbox,1
2017-04-01,desktop,Modernizr,306
2017-04-01,desktop,Moment Timezone,8
2017-04-01,desktop,Moment.js,50
2017-04-01,desktop,MooTools,48
2017-04-01,desktop,Mustache,7
2017-04-01,desktop,Prototype,32
2017-04-01,desktop,Pusher,1
2017-04-01,desktop,React,5
2017-04-01,desktop,RequireJS,24
2017-04-01,desktop,SWFObject,72
2017-04-01,desktop,Scriptaculous,12
2017-04-01,desktop,ScrollMagic,5
2017-04-01,desktop,Sea.js,5
2017-04-01,desktop,Socket.IO,8
2017-04-01,desktop,SproutCore,1
2017-04-01,desktop,Swiffy,1
2017-04-01,desktop,Tween.js,4
2017-04-01,desktop,Underscore,60
2017-04-01,desktop,Velocity.js,8
2017-04-01,desktop,Vue,6
2017-04-01,desktop,WebFont Loader,31
2017-04-01,desktop,YUI 2,31
2017-04-01,desktop,YUI 3,15
2017-04-01,desktop,Zepto.js,11
2017-04-01,desktop,Zurb,20
2017-04-01,desktop,jQuery,1762
2017-04-01,desktop,jQuery Mobile,36
2017-04-01,desktop,jQuery Tools,55
2017-04-01,desktop,jQuery UI,394
2017-04-01,desktop,yepnope,235
2017-04-01,mobile,AmplifyJS,1
2017-04-01,mobile,AngularJS,45
2017-04-01,mobile,Backbone,31
2017-04-01,mobile,Blackbird,1
2017-04-01,mobile,Bootstrap,292
2017-04-01,mobile,Can,1
2017-04-01,mobile,CreateJS,3
2017-04-01,mobile,D3,13
2017-04-01,mobile,Dojo,7
2017-04-01,mobile,Ember.js,2
2017-04-01,mobile,Ext JS,8
2017-04-01,mobile,Fabric.js,1
2017-04-01,mobile,FastClick,42
2017-04-01,mobile,FlexSlider,200
2017-04-01,mobile,FlotCharts,2
2017-04-01,mobile,GWT,2
2017-04-01,mobile,Google Maps,61
2017-04-01,mobile,Greensock JS,50
2017-04-01,mobile,Hammer.js,20
2017-04-01,mobile,Handlebars,19
2017-04-01,mobile,Head JS,5
2017-04-01,mobile,Highcharts,9
2017-04-01,mobile,Isotope,81
2017-04-01,mobile,Kendo UI,1
2017-04-01,mobile,Knockout,10
2017-04-01,mobile,LABjs,2
2017-04-01,mobile,Leaflet,9
2017-04-01,mobile,Lo-Dash,32
2017-04-01,mobile,Marionette,1
2017-04-01,mobile,Material Design Lite,1
2017-04-01,mobile,Modernizr,337
